config_tag,fusion_type,split,n_runs,loss_mean,loss_std,top1_mean,top1_std,top5_mean,top5_std,seen_top1_mean,seen_top1_std,seen_top5_mean,seen_top5_std,unseen_top1_mean,unseen_top1_std,unseen_top5_mean,unseen_top5_std,auc_csp_style_mean,auc_csp_style_std
g1-lr5e-3-bs128-wd1e-5,clip_similarity,test,1,4.775837720839415,0.0,0.07564447864563294,0.0,0.2559445940746441,0.0,0.1453781512605042,0.0,0.39873949579831935,0.0,0.06000942063118229,0.0,0.2239284032030146,0.0,0.01611018994531059,0.0
g1-lr5e-3-bs128-wd1e-5,clip_similarity,val,1,4.781328684171651,0.0,0.08694817658349328,0.0,0.26727447216890593,0.0,0.1616052060737527,0.0,0.39370932754880694,0.0,0.0708955223880597,0.0,0.24008861940298507,0.0,0.021951425388041866,0.0
g1-lr5e-3-bs128-wd1e-5,cross_attention,test,1,4.8482192670257795,0.0,0.0006925740669488264,0.0,0.004309349749903809,0.0,0.003781512605042017,0.0,0.007142857142857143,0.0,0.0,0.0,0.003674046161092793,0.0,nan,nan
g1-lr5e-3-bs128-wd1e-5,cross_attention,val,1,4.847069187859885,0.0,0.0,0.0,0.001343570057581574,0.0,0.0,0.0,0.007592190889370932,0.0,0.0,0.0,0.0,0.0,nan,nan
g10-lr5e-5-bs128-wd5e-5,clip_similarity,test,1,4.154900130330255,0.0,0.07595228934205464,0.0,0.27418237783762983,0.0,0.1815126050420168,0.0,0.4365546218487395,0.0,0.05228450306170514,0.0,0.23777673104097974,0.0,0.015166602514187971,0.0
g10-lr5e-5-bs128-wd5e-5,clip_similarity,val,1,4.139541766556577,0.0,0.09884836852207293,0.0,0.29875239923224567,0.0,0.19143167028199568,0.0,0.43872017353579174,0.0,0.07894123134328358,0.0,0.26865671641791045,0.0,0.0256794176415061,0.0
g11-lr5e-5-bs256-wd1e-5,clip_similarity,test,1,4.403650123461158,0.0,0.07518276260100039,0.0,0.2729511350519431,0.0,0.17394957983193277,0.0,0.43109243697478994,0.0,0.05303815355628827,0.0,0.23749411210551108,0.0,0.01499032236923727,0.0
g11-lr5e-5-bs256-wd1e-5,clip_similarity,val,1,4.393642533534777,0.0,0.09683301343570058,0.0,0.2950095969289827,0.0,0.18817787418655096,0.0,0.43221258134490237,0.0,0.07719216417910447,0.0,0.2655083955223881,0.0,0.02460582143636661,0.0
g12-lr5e-5-bs256-wd5e-5,clip_similarity,test,1,4.403650123461158,0.0,0.07518276260100039,0.0,0.2729511350519431,0.0,0.17394957983193277,0.0,0.43109243697478994,0.0,0.05303815355628827,0.0,0.23749411210551108,0.0,0.01499032236923727,0.0
g12-lr5e-5-bs256-wd5e-5,clip_similarity,val,1,4.393642533534777,0.0,0.09683301343570058,0.0,0.2950095969289827,0.0,0.18817787418655096,0.0,0.43221258134490237,0.0,0.07719216417910447,0.0,0.2655083955223881,0.0,0.02460582143636661,0.0
